Borough,Date,Neighborhood,Positive,Test Positive Rate,Total,ZIPCODE,zcta_cum.perc_pos
Queens,2020-04-03,West Central Queens,606,0.593535749,1021,11385,59.35
Queens,2020-04-03,Southeast Queens,213,0.702970297,303,11411,70.3
Queens,2020-04-03,Jamaica,348,0.628158845,554,11412,62.82
Queens,2020-04-03,Southeast Queens,393,0.63592233,618,11413,63.59
Queens,2020-04-03,Southwest Queens,220,0.548628429,401,11414,54.86
Queens,2020-04-03,Southwest Queens,185,0.591054313,313,11415,59.11
Queens,2020-04-03,Southwest Queens,161,0.649193548,248,11416,64.92
Queens,2020-04-03,Southwest Queens,230,0.6036745410000001,381,11417,60.37
Queens,2020-04-03,Southwest Queens,293,0.61814346,474,11418,61.81
Queens,2020-04-03,Southwest Queens,261,0.58,450,11419,58.0
Queens,2020-04-03,Southwest Queens,339,0.6,565,11420,60.0
Queens,2020-04-03,Southwest Queens,280,0.6194690270000001,452,11421,61.95
Queens,2020-04-03,Southeast Queens,303,0.644680851,470,11422,64.47
Queens,2020-04-03,Jamaica,248,0.64921466,382,11423,64.92
Queens,2020-04-03,Southeast Queens,141,0.528089888,267,11426,52.81
Queens,2020-04-03,Southeast Queens,233,0.5825,400,11427,58.25
Queens,2020-04-03,Southeast Queens,167,0.662698413,252,11428,66.27
Queens,2020-04-03,Jamaica,536,0.667496887,803,11434,66.75
Queens,2020-04-03,Jamaica,448,0.630098453,711,11432,63.01
Queens,2020-04-03,Jamaica,226,0.656976744,344,11433,65.7
Queens,2020-04-03,Jamaica,409,0.5979532160000001,684,11435,59.8
Queens,2020-04-03,Jamaica,137,0.668292683,205,11436,66.83
Queens,2020-04-03,Rockaways,616,0.6652267820000001,926,11691,66.52
Queens,2020-04-03,Rockaways,155,0.630081301,246,11692,63.01
Queens,2020-04-03,Rockaways,116,0.613756614,189,11693,61.38
Queens,2020-04-03,Rockaways,188,0.538681948,349,11694,53.87
Queens,2020-04-03,Rockaways,30,0.422535211,71,11697,42.25
Manhattan,2020-04-04,Chelsea and Clinton,146,0.45482866,321,10001,45.48
Manhattan,2020-04-04,Lower East Side,341,0.49853801200000003,684,10002,49.85
Manhattan,2020-04-04,Lower East Side,198,0.426724138,464,10003,42.67
Manhattan,2020-04-04,Lower Manhattan,20,0.444444444,45,10004,44.44
Manhattan,2020-04-04,Lower Manhattan,28,0.294736842,95,10005,29.47
Manhattan,2020-04-04,Lower Manhattan,7,0.25,28,10006,25.0
