id,Country,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01,2022-01-08,2022-01-15,2022-01-22,2022-01-29,2022-02-05,2022-02-12,2022-02-19,2022-02-26,2022-03-05,2022-03-12,2022-03-19,2022-03-26,2022-04-02,2022-04-09,2022-04-16,2022-04-23,2022-04-30,2022-05-07,2022-05-14,2022-05-21,2022-05-28
162,"Grenada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,24,48,105,154,177,192,196,198,198,200,200,200,200,200,200,200,200,200,203,205,210,211,213,214,214,216,216,217,218,218,218,219,220,220,220,221,223,226
163,"Mozambique",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,5,7,9,10,11,12,16,19,20,22,26,35,41,54,64,70,74,85,92,99,110,123,129,133,140,147,159,168,187,234,297,363,451,525,587,630,686,722,743,762,782,789,798,807,814,821,826,831,836,837,840,847,867,897,962,1099,1257,1434,1600,1707,1785,1842,1877,1892,1903,1909,1918,1922,1925,1928,1930,1934,1934,1936,1940,1941,1942,1948,1967,2012,2077,2123,2153,2167,2183,2189,2189,2192,2196,2198,2199,2200,2200,2200,2200,2201,2201,2201,2201,2201,2203
164,"Syria",0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,4,4,6,6,7,9,10,16,25,36,43,50,60,85,106,130,152,170,188,204,221,245,267,288,313,341,372,409,442,506,601,669,723,768,824,879,916,947,975,996,1023,1058,1094,1153,1227,1299,1368,1437,1526,1598,1648,1693,1729,1763,1790,1808,1841,1864,1885,1896,1904,1905,1914,1919,1935,1964,1998,2033,2071,2120,2198,2265,2332,2391,2492,2558,2593,2661,2699,2729,2772,2809,2841,2871,2901,2924,2944,2965,2984,3004,3026,3047,3068,3092,3114,3125,3131,3144,3146,3149,3150,3150,3150,3150,3150,3150
165,"Timor-Leste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,8,11,16,17,18,19,21,24,25,26,26,26,26,29,46,59,78,90,103,113,118,119,119,120,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,123,125,128,129,129,129,130,130,130,130,130,130,130,131,131,131
166,"Belize",0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,13,15,19,20,24,28,35,43,48,59,68,88,112,144,172,192,213,228,249,271,281,290,301,306,313,314,315,315,316,316,317,317,318,318,321,323,323,323,323,324,325,325,328,329,330,330,332,332,337,339,344,351,356,363,373,389,402,418,427,461,473,491,509,534,558,570,579,586,589,592,602,605,608,616,625,629,631,641,650,651,652,654,654,656,660,672,676,676,676,676,677,677
167,"Laos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,4,5,7,7,9,11,12,16,16,16,16,21,24,38,50,62,81,96,126,154,201,236,268,317,374,430,488,524,538,565,591,608,621,628,641,645,654,673,692,714,732,744,749,754,754,756
168,"Libya",0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,5,5,8,10,18,27,38,48,58,80,113,145,188,231,272,354,436,499,578,623,699,790,857,920,995,1068,1153,1219,1278,1346,1415,1487,1568,1651,1737,1842,1936,2014,2088,2174,2236,2348,2487,2602,2684,2807,2882,2947,3029,3063,3085,3105,3116,3137,3158,3173,3185,3205,3232,3253,3344,3509,3689,3869,4017,4165,4308,4410,4490,4588,4664,4757,4860,4982,5078,5186,5275,5365,5430,5480,5540,5589,5641,5710,5778,5828,5907,5993,6052,6113,6178,6241,6288,6336,6368,6397,6419,6425,6429,6429,6430,6430,6430,6430,6430
169,"West Bank and Gaza",0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,3,3,3,3,4,13,33,59,75,83,96,108,125,147,177,210,253,285,329,378,402,443,483,512,558,620,704,812,961,1117,1281,1446,1583,1700,1783,1831,1870,1930,1971,2025,2127,2255,2406,2557,2681,2838,2983,3151,3249,3351,3423,3459,3492,3516,3524,3550,3556,3570,3580,3587,3596,3603,3611,3623,3632,3669,3720,3799,3909,4018,4132,4465,4556,4611,4663,4705,4743,4770,4789,4810,4830,4855,4884,4919,4954,5005,5042,5076,5128,5215,5357,5458,5557,5603,5628,5649,5655,5655,5656,5657,5657,5657,5657,5659,5660
170,"Guinea-Bissau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,6,8,12,15,17,22,25,26,26,26,27,29,33,33,34,38,39,39,39,39,40,41,41,41,42,43,43,43,44,44,44,45,45,45,45,45,45,46,46,46,48,49,52,55,61,65,66,66,67,67,67,67,68,68,68,69,69,69,69,70,72,74,76,79,90,99,116,121,125,130,135,135,135,141,141,141,143,143,146,146,149,149,149,149,149,149,152,153,154,158,161,166,166,167,168,169,169,170,170,170,171,171,171,171,171,171
171,"Mali",0,0,0,0,0,0,0,0,0,0,3,7,13,21,26,37,48,63,76,90,104,109,113,118,121,121,123,124,125,125,125,126,126,128,128,130,131,132,132,132,136,137,139,143,149,163,189,220,249,276,295,308,323,330,338,342,347,352,358,360,367,376,391,405,429,462,485,499,511,513,517,518,523,524,525,526,528,530,530,532,534,534,536,539,541,543,545,547,549,553,557,558,563,574,585,591,603,617,628,639,653,668,671,688,704,711,715,716,717,722,724,726,727,727,728,729,729,731,732,733,733,734,734
172,"Saint Kitts and Nevis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,4,7,9,10,13,17,21,21,23,25,27,28,28,28,28,28,28,28,28,28,28,33,37,40,42,42,42,42,42,42,43,43,43,43,43,43,43,43,43
173,"Kosovo",0,0,0,0,0,0,0,0,0,1,1,7,12,19,22,28,29,29,30,30,31,34,44,58,97,130,169,236,316,390,457,508,556,589,614,619,630,645,652,661,678,732,798,904,989,1087,1186,1248,1305,1336,1368,1399,1447,1487,1519,1540,1558,1592,1640,1688,1752,1811,1892,1968,2061,2115,2134,2207,2222,2244,2247,2249,2252,2255,2260,2262,2268,2268,2269,2269,2271,2280,2315,2421,2605,2772,2889,2931,2959,2966,2973,2974,2976,2978,2980,2982,2983,2984,2987,2989,2989,2991,2991,2994,2997,3012,3037,3068,3098,3112,3117,3124,3127,3130,3136,3138,3138,3138,3138,3138,3139,3139,3139
174,"Burma",0,0,0,0,0,0,0,0,0,0,1,3,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,16,81,198,371,598,838,1066,1237,1396,1552,1722,1887,2081,2245,2424,2579,2711,2826,2942,3045,3125,3168,3188,3196,3199,3200,3201,3204,3206,3206,3206,3206,3206,3209,3210,3212,3216,3216,3223,3241,3258,3290,3384,3756,4769,6756,9334,11526,13078,14236,15077,15795,16451,17016,17465,17835,18104,18329,18511,18664,18804,18913,19011,19079,19135,19177,19213,19251,19272,19290,19301,19309,19310,19310,19310,19327,19360,19386,19406,19423,19429,19432,19434,19434,19434,19434,19434,19434,19434,19434
175,"MS Zaandam",0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
176,"Botswana",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,8,10,13,16,16,18,20,21,24,27,27,31,31,34,37,38,40,42,48,71,105,134,163,202,254,310,359,424,458,506,591,636,671,691,712,734,761,784,831,866,896,940,1095,1158,1202,1274,1375,1569,1704,1973,2081,2213,2276,2325,2343,2360,2368,2376,2386,2396,2406,2407,2411,2416,2416,2419,2421,2425,2427,2444,2475,2514,2544,2580,2585,2597,2608,2619,2619,2619,2619,2619,2686,2686,2688,2688,2688,2690,2690,2692,2695
177,"Burundi",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,9,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
178,"Sierra Leone",0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,18,29,39,46,48,51,53,59,62,63,65,66,67,68,69,69,70,71,72,72,72,72,72,73,74,74,74,74,74,74,74,75,75,76,76,77,77,77,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,82,82,93,104,110,115,118,120,120,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,123,123,124,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
179,"Malawi",0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,4,4,5,8,13,17,33,55,87,120,143,157,168,174,175,177,179,179,179,180,181,183,184,184,185,185,185,185,186,187,188,192,220,300,470,687,837,937,1004,1041,1067,1082,1093,1113,1120,1127,1136,1147,1148,1153,1153,1153,1154,1156,1159,1168,1181,1205,1242,1325,1458,1635,1805,1955,2059,2157,2206,2236,2256,2275,2283,2288,2292,2296,2300,2302,2302,2304,2304,2307,2307,2311,2328,2368,2411,2459,2519,2557,2570,2594,2605,2613,2618,2620,2626,2626,2626,2628,2631,2633,2634,2634,2636,2638,2639
180,"South Sudan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,10,27,34,36,38,38,43,45,46,47,47,47,47,48,49,49,49,50,54,55,56,58,59,59,60,61,62,62,62,62,63,63,63,64,64,66,74,85,93,102,104,106,108,112,114,114,114,115,115,115,115,115,115,115,115,115,117,117,117,117,119,120,120,120,120,120,120,121,128,130,130,130,133,133,133,133,133,133,133,133,133,135,135,136,136,137,137,137,137,137,137,137,138,138,138,138,138,138,138,138,138,138,138,138
181,"Western Sahara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,"Sao Tome and Principe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,8,12,12,12,12,13,13,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,17,17,17,17,17,17,17,17,17,17,17,18,19,21,28,31,32,34,34,35,35,35,35,35,35,35,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,39,43,49,52,56,56,56,56,56,56,56,56,56,57,57,57,57,63,65,68,69,71,71,71,72,72,72,73,73,73,73,73,73,73,73,73,73,73
183,"Yemen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,18,39,77,111,160,254,296,337,365,443,474,494,512,528,546,563,572,582,585,587,589,595,596,599,599,601,602,604,604,606,606,606,606,610,610,612,615,615,615,616,618,631,650,683,737,832,932,1031,1119,1175,1229,1270,1285,1304,1319,1325,1347,1353,1358,1361,1366,1368,1373,1375,1384,1401,1416,1450,1519,1569,1638,1682,1734,1775,1802,1838,1880,1907,1923,1938,1945,1953,1968,1976,1983,1984,1986,1988,1995,2007,2026,2102,2120,2133,2135,2139,2140,2142,2143,2147,2148,2148,2149,2149,2149,2149,2149
