id,Region,2020-03-11,2020-03-18,2020-03-25,2020-04-01,2020-04-08,2020-04-15,2020-04-22,2020-04-29,2020-05-06,2020-05-13,2020-05-20,2020-05-27,2020-06-03,2020-06-10,2020-06-17
27,"Cameroon",0.375553259206767,0.0504014749477815,NaN,0.103621968997925,0.180459753263152,0.166698952703528,0.0183907265924673,0.0613150117665162,0.101756319113667,0.0462330130250523,0.0246712363858704,0.0714723582192474,0.0314159468812224,0.0692787552322032,0.0721715095143451
28,"Canada",0.0384790459527724,NaN,0.111226772022495,0.108488765778751,0.0843639746633165,0.062826117861843,0.0554876890104192,0.0497010162422247,0.0494803071279997,0.0463827198873517,0.0436466068946301,0.042439618121165,0.0298572946920355,0.0406819101333394,0.0395464143783868
29,"Central African Republic",0.145594755742706,NaN,0.394588472406111,0.0368135224824281,0.283659971158142,0.0997295725579643,0.0552669843245615,0.32072560579943,0.166547874535608,0.0288965959834662,0.286025626703249,0.0446689604545465,0.0320282784071458,0.0575649276909103,0.0143599060200337
30,"Chad",0.162995210570637,NaN,0.149188073102117,0.183660402803385,0.0668984908187356,0.141025168115696,0.238282644972701,0.0397632650736088,0.112193737423639,0.097115618313133,0.0845640513535767,0.071531132788956,0.0112779081258682,0.0392988295985988,0.0770464916125034
31,"Chile",NaN,0.129061344636556,0.115555628176146,0.0925306862163751,0.0758427567180004,0.0600567890561312,0.0604616804805909,0.00712986851663922,0.312364574614712,0.00246124908900458,0.0110589105828813,0.0364469807791143,0.0308817027569157,0.0455190690060154,0.0660624156798042
32,"China",0.152543771384942,0.0172550878023152,NaN,0.0273255314812402,0.0287069229451651,0.0640248720571832,0.104227130457127,0.104852294715426,0.0287758813200911,0.0122002950160472,0.0243317394897031,0.0207775198300348,NaN,0.0233532530389466,0.0170205038102487
33,"Colombia",NaN,0.186839161537912,0.106417909013093,0.064044360643152,0.095524709905551,0.0715527973575558,0.00317027716448259,0.00214563738774909,0.00669313377578251,0.0262040196493458,0.0231649714244218,0.0286076242335156,0.457367031064969,0.0301119255436566,0.00412006654229913
34,"Congo (Brazzaville)",0.120031202316648,2.27061465815349,0.0278757905297566,NaN,0.175079377297558,0.0257305930875615,NaN,0.123140715259232,0.0330796757906395,0.0445485141758694,0.0932371420061739,0.0358292162132265,0.0806864812479486,0.0729476986314996,0.0208103093467231
35,"Congo (Kinshasa)",7.17566056367953,0.15180470146956,0.125357445521492,0.0579309481609224,0.0951958041273702,0.00325085355494226,0.054332862875117,0.0236360847071668,0.0328317953141273,0.0135174100740099,NaN,0.0310333503344404,0.0343741110886882,0.0390151960733434,0.00564703742383266
36,"Costa Rica",0.159030155158042,0.0166201910503732,0.151955341689154,0.118892293979613,0.104434026742341,0.102365876140828,0.0972315327632428,0.00838297009150413,0.00743624942728505,0.0119916788030311,0.0377013652268914,0.0125925197396315,0.00953625201077579,0.223648872200053,0.0207798412733067
37,"Cote d'Ivoire",NaN,0.34279374730786,NaN,0.118942865914399,0.00835172448045596,0.0779037195272105,0.0686968298457462,0.0588501460890654,0.00576917432951696,0.0176449984008883,0.0459057216626508,0.0111043809642011,NaN,NaN,0.0034766807934995
38,"Croatia",0.0365990882651399,NaN,0.15792513344365,0.126120908428115,0.104550870019612,0.0988617363893398,0.0949466129145271,0.0911070837604331,0.0181945306232829,0.0528285402983805,0.0462557614289155,0.0528617500450652,0.0775809991742687,0.0231347992295743,0.0342844352527094
39,"Diamond Princess",0.216499708219591,0.100419844052768,0.00109104937284589,0.00109092395590888,0.00109076019953046,0.00109055558975058,0.00109030851159984,0.00109001810434466,0.00108968412245,0.00108930681100082,0.00108888679849606,0.00108842500693652,0.00108792257773368,0.00108738081143735,0.00108680111919945
40,"Cuba",NaN,0.0352334279605699,NaN,0.0824471396689876,0.0768215052766166,0.0733264648380658,0.0724528100527477,0.0703983329686989,0.0704253235215089,0.0678369017456427,0.0653286755337967,0.00650800086284709,0.0443753377053531,0.0599928780639913,0.0032984288371169
41,"Cyprus",0.267837085782886,0.153254949616608,0.0864592673784257,0.0708812502832705,0.102639291644098,0.105711082808235,0.100066073273878,0.0060159052855957,0.0917164770305114,0.0885197536720301,0.0344601624606229,0.0658252412535564,0.00665120072226255,0.0785665234205811,0.0766034701259944
42,"Czechia",0.168389146404341,0.124718944894716,0.121031122709923,0.109853880752969,0.108183740155173,0.0981053125499685,0.0927073622959311,0.0882454183451865,0.0844800244718134,0.00733283294371545,0.00742019790770454,0.0710728832798612,0.00765225611567777,0.015235377714804,0.0262831111773145
43,"Denmark",NaN,0.178364308764012,0.00763881640297859,0.0377487772017734,0.106352480335772,0.0935097819122915,0.084146234423355,0.0774249058979207,0.0734498149746687,0.0706340007774169,0.0680016087624707,0.0657178300303862,0.0637074254904446,0.0618887932644875,0.0396539685440918
