"date","location","value","min_suppressed","race_ethnicity","target"
2020-09-26,"37",0,1,"asian","inc death"
2020-09-26,"37",67,0,"black","inc death"
2020-09-26,"37",100,1,"white","inc death"
2020-10-03,"37",0,2,"other","inc death"
2020-10-03,"37",0,1,"asian","inc death"
2020-10-03,"37",49,0,"black","inc death"
2020-10-03,"37",99,0,"white","inc death"
2020-10-10,"37",11,2,"other","inc death"
2020-10-10,"37",0,1,"asian","inc death"
2020-10-10,"37",55,0,"black","inc death"
2020-10-10,"37",110,0,"white","inc death"
2020-10-17,"37",0,3,"other","inc death"
2020-10-17,"37",0,1,"asian","inc death"
2020-10-17,"37",46,0,"black","inc death"
2020-10-17,"37",131,1,"white","inc death"
2020-10-24,"37",10,2,"other","inc death"
2020-10-24,"37",0,0,"asian","inc death"
2020-10-24,"37",43,0,"black","inc death"
2020-10-24,"37",139,0,"white","inc death"
2020-10-31,"37",10,2,"other","inc death"
2020-10-31,"37",0,2,"asian","inc death"
2020-10-31,"37",57,0,"black","inc death"
2020-10-31,"37",175,0,"white","inc death"
2020-11-07,"37",0,2,"other","inc death"
2020-11-07,"37",0,0,"asian","inc death"
2020-11-07,"37",69,0,"black","inc death"
2020-11-07,"37",172,0,"white","inc death"
2020-11-14,"37",11,3,"other","inc death"
2020-11-14,"37",0,0,"asian","inc death"
2020-11-14,"37",64,0,"black","inc death"
2020-11-14,"37",179,0,"white","inc death"
2020-03-07,"37",0,NA,"white","inc case"
2020-03-14,"37",35,NA,"white","inc case"
2020-03-21,"37",423,NA,"white","inc case"
2020-03-28,"37",567,NA,"white","inc case"
2020-04-04,"37",517,NA,"white","inc case"
2020-04-11,"37",897,NA,"white","inc case"
2020-04-18,"37",751,NA,"white","inc case"
2020-04-25,"37",1146,NA,"white","inc case"
2020-05-02,"37",1109,NA,"white","inc case"
2020-05-09,"37",1471,NA,"white","inc case"
2020-05-16,"37",1845,NA,"white","inc case"
2020-05-23,"37",2187,NA,"white","inc case"
2020-05-30,"37",2343,NA,"white","inc case"
2020-06-06,"37",3082,NA,"white","inc case"
2020-06-13,"37",3493,NA,"white","inc case"
2020-06-20,"37",4225,NA,"white","inc case"
2020-06-27,"37",5042,NA,"white","inc case"
2020-07-04,"37",5087,NA,"white","inc case"
2020-07-11,"37",6050,NA,"white","inc case"
2020-07-18,"37",5757,NA,"white","inc case"
2020-07-25,"37",5647,NA,"white","inc case"
2020-08-01,"37",5320,NA,"white","inc case"
2020-08-08,"37",4838,NA,"white","inc case"
2020-08-15,"37",4686,NA,"white","inc case"
2020-08-22,"37",5775,NA,"white","inc case"
2020-08-29,"37",5568,NA,"white","inc case"
2020-09-05,"37",5010,NA,"white","inc case"
